#1
double Demand(10584,4)  #
443	20513	18753	18582
444	20702	18880	18931
445	20209	18812	19007
446	19486	18704	18744
447	19521	18539	18596
448	19639	18682	18374
449	20770	19542	18825
450	22440	20337	20402
451	22445	20445	21132
452	22041	19966	20553
453	21468	19391	19487
454	20334	18560	18816
455	18798	17397	17729
456	17320	16061	16234
457	16454	15168	14725
458	15971	14704	14275
459	15737	14539	14240
460	15733	14480	14374
461	15881	14603	14421
462	16664	15330	14726
463	19111	16906	16057
464	20998	18730	18482
465	20850	19000	20554
466	20747	18988	19270
467	20442	18950	18976
468	20086	18833	18912
469	19771	18732	18716
470	19748	18616	18631
471	19543	18540	18500
472	19592	18546	18464
473	20670	19317	18552
474	22363	20467	20088
475	23017	20887	21617
476	22617	20414	21307
477	22103	19828	19941
478	20329	19065	19242
479	19071	17891	18302
480	17755	16535	16717
481	16839	15642	15179
482	16439	15282	14749
483	16241	15154	14922
484	16234	15102	15026
485	16424	15241	15050
486	17284	15845	15380
487	19170	17304	16449
488	21233	19006	18763
489	21312	19264	20708
490	21182	19195	19522
491	21263	19131	19126
492	20803	18903	19067
493	20543	18699	18675
494	20358	18583	18495
495	19960	18511	18467
496	19893	18509	18439
497	20924	19285	18507
498	22300	20269	20061
499	22580	20426	21253
500	21961	20105	20583
501	21271	19648	19784
502	20572	18874	19191
503	19244	17726	18100
504	17783	16378	16578
505	16726	15439	15030
506	16397	15153	14500
507	16318	14954	14867
508	16390	14872	14755
509	16544	14999	14790
510	17058	15653	15126
511	18766	17120	16307
512	20516	18783	18587
513	20926	19205	20446
514	20617	19019	19627
515	20920	18988	18833
516	20854	18855	18957
517	20732	18528	18722
518	20505	18228	18201
519	20023	17972	17928
520	20072	17887	17716
521	20409	18429	17802
522	21754	19216	18971
523	22038	19698	20003
524	21721	19264	20180
525	21369	18635	18830
526	20150	18082	18006
527	18754	17109	17529
528	16968	16012	16136
529	16253	15138	14915
530	16193	14650	14264
531	16297	14397	14162
532	16090	14298	14144
533	16434	14341	14199
534	16590	14632	14384
535	17325	15305	14923
536	18210	16102	15978
537	18860	16832	16899
538	19443	17369	17562
539	19524	17523	17906
540	19158	17504	17677
541	18939	17319	17485
542	18701	17038	17134
543	18468	16827	16757
544	18422	16832	16616
545	19000	17528	16837
546	20666	18497	18224
547	20891	18642	19466
548	20063	17973	18787
549	19100	17514	17304
550	18430	16933	17055
551	17650	16207	16352
552	16912	15322	15481
553	16363	14503	14437
554	15942	13997	13684
555	15871	13663	13491
556	15493	13480	13329
557	15374	13466	13297
558	15600	13588	13452
559	15582	14002	13710
560	16188	14589	14416
561	16354	15146	15176
562	17104	15828	15703
563	17401	16345	16510
564	18295	16632	16862
565	18481	16858	16919
566	18623	16894	17084
567	18787	16966	16930
568	18958	17115	17038
569	19230	17892	17264
570	19372	18762	18669
571	19617	18588	19632
572	19277	18080	18414
573	18445	17545	17572
574	17837	16933	17010
575	16687	15929	16321
576	16116	15016	14925
577	15676	14205	14103
578	15034	13777	13394
579	14744	13573	13349
580	14574	13494	13369
581	14797	13626	13415
582	15674	14263	13758
583	17014	15685	14900
584	18783	17514	17107
585	19266	18054	19343
586	19364	18209	18594
587	19647	18480	18364
588	19762	18559	18751
589	19471	18402	18638
590	19237	18278	18245
591	19215	18292	18154
592	19420	18457	18306
593	20268	19208	18622
594	21390	20109	19959
595	21817	19978	21010
596	21044	19447	19847
597	20276	18834	18916
598	19161	17987	18221
599	17912	16892	17140
600	16522	15567	15797
601	15557	14603	14242
602	14997	14084	13639
603	14746	13921	13565
604	14805	13900	13758
605	15299	14060	13879
606	16367	14895	14220
607	17917	16199	15730
608	19989	18023	17503
609	20507	18685	19847
610	20493	18602	19347
611	20297	18841	18519
612	20512	18843	19080
613	20307	18767	18845
614	20039	18720	18691
615	20071	18707	18673
616	20054	18812	18694
617	20635	19568	18917
618	22864	20338	20324
619	22558	20357	21108
620	22387	19846	20376
621	21668	19417	19335
622	20774	18585	18988
623	18598	17288	17753
624	16873	16047	15991
625	16107	15125	14806
626	15752	14686	14203
627	15625	14568	14247
628	15505	14548	14450
629	15649	14692	14528
630	16443	15430	14836
631	18905	16810	16168
632	20864	18645	18190
633	21010	19017	20480
634	21357	19081	19389
635	21474	19258	19145
636	20989	19448	19435
637	20517	19180	19638
638	19963	19000	18912
639	20067	19031	18820
640	20128	19139	19062
641	20710	19683	19247
642	22111	20368	20227
643	22731	20862	21053
644	22557	20453	21356
645	21966	19911	20044
646	20870	19203	19369
647	19234	18042	18495
648	17722	16740	16881
649	16852	15795	15438
650	16602	15411	14850
651	16328	15221	15027
652	16113	15056	15031
653	16291	15158	14891
654	17109	15967	15260
655	19299	17362	16776
656	20910	18994	18757
657	21147	19542	20626
658	21018	19557	20090
659	21147	19655	19572
660	21469	19839	19753
661	21335	19675	20023
662	21011	19601	19511
663	20867	19558	19527
664	20410	19550	19515
665	20891	20369	19542
666	23134	21493	21188
667	23840	22033	22617
668	23475	21587	22573
669	23258	21150	21141
670	21711	20301	20713
671	20132	19240	19452
672	18893	17960	18179
673	18372	17082	16680
674	18333	16734	16204
675	18245	16471	16386
676	18228	16395	16208
677	18371	16525	16319
678	18800	17205	16655
679	21232	18625	17885
680	22909	20131	20045
681	22653	20420	21637
682	22890	20485	20709
683	22993	20561	20550
684	22607	20308	20637
685	21962	20160	20055
686	21731	19864	20012
687	21731	19651	19568
688	22248	19674	19438
689	23161	20150	19697
690	24071	20979	20626
691	24423	21634	21808
692	23842	21165	22289
693	23001	20740	20696
694	22296	20052	20315
695	20835	19088	19364
696	19352	17966	18124
697	19042	17160	16844
698	18448	16616	16354
699	18219	16387	16072
700	18076	16319	16158
701	18200	16368	16251
702	18468	16686	16417
703	19608	17207	17004
704	20115	17919	17728
705	21050	18556	18631
706	21492	19071	19193
707	21209	19345	19586
708	20943	19196	19619
709	20695	18817	19047
710	20589	18547	18438
711	20330	18079	18277
712	20298	17996	17611
713	21254	18498	17913
714	22214	19595	19000
715	22890	20175	20692
716	22273	19550	20755
717	21938	19160	18925
718	21214	18534	18770
719	20064	17862	17908
720	18929	16937	17190
721	18314	16061	16012
722	17708	15666	15185
723	17319	15452	15271
724	16884	15342	15238
725	16650	15358	15232
726	16800	15408	15374
727	18265	15659	15458
728	18604	16182	15910
729	19317	16845	16705
730	20610	17627	17508
731	20593	18042	18409
732	20467	18195	18457
733	20401	18299	18348
734	19993	18066	18403
735	19592	17920	17833
736	19439	18017	17774
737	20698	18787	18114
738	21616	19491	19557
739	22337	19705	20195
740	22138	19328	19919
741	21398	18926	18951
742	20622	18322	18524
743	19390	17438	17718
744	18092	16465	16554
745	17455	15673	15492
746	17384	15343	14881
747	16940	15355	15013
748	16871	15394	15367
749	17327	15434	15433
750	17984	16204	15474
751	20456	17717	16974
752	21282	19358	19230
753	21360	19674	20999
754	21752	19796	19990
755	22550	19949	19918
756	22610	19806	20102
757	21181	19700	19663
758	20923	19447	19594
759	20811	19531	19194
760	21492	19627	19615
761	22530	19995	19723
762	23567	20938	20363
763	23703	21367	21881
764	23379	20854	21796
765	22967	20317	20341
766	21697	19443	19780
767	19315	18394	18569
768	18573	17053	17345
769	17599	16071	15712
770	16881	15652	15089
771	16973	15433	15233
772	17339	15388	15214
773	17900	15586	15343
774	18764	16418	15784
775	20693	17875	17250
776	22450	19450	19332
777	22623	19791	21025
778	22567	19700	20132
779	22609	19674	19609
780	22444	19625	19648
781	22114	19307	19576
782	21645	19212	18989
783	21028	19144	19117
784	21182	19188	19076
785	22594	19851	19232
786	23685	20780	20514
787	24381	21172	21709
788	23605	20678	21564
789	23045	20246	20184
790	21951	19376	19814
791	20259	18274	18506
792	18972	16860	17172
793	17597	15877	15446
794	17762	15573	14894
795	17160	15434	15269
796	17121	15360	15295
797	16933	15425	15286
798	18207	16315	15490
799	19856	17684	17205
800	21179	19229	19053
801	21687	19471	20774
802	21284	19338	19713
803	21497	19315	19205
804	21907	19175	19292
805	21532	19088	19035
806	21477	18958	19001
807	21118	18879	18828
808	21089	18856	18800
809	21871	19472	18833
810	22946	20285	20088
811	23662	20866	21098
812	23112	20490	21447
813	22568	20004	20114
814	21446	19137	19518
815	19062	17998	18270
816	17863	16785	16859
817	17678	15951	15572
818	16981	15504	15117
819	16999	15422	15057
820	17084	15359	15340
821	17529	15640	15296
822	18448	16445	15921
823	20000	17915	17250
824	22419	19571	19385
825	22175	19726	21227
826	22405	19621	19881
827	22432	19513	19516
828	22290	19326	19405
829	21335	18976	19139
830	21706	18884	18626
831	20985	18699	18792
832	21557	18746	18514
833	21923	19435	18793
834	23065	20293	20124
835	23803	20977	21151
836	23001	20552	21661
837	22789	19987	20127
838	21761	19148	19422
839	19884	18033	18309
840	18206	16717	16918
841	17123	15811	15401
842	16731	15323	14905
843	16103	15064	14835
844	16229	14927	14805
845	15902	15091	14790
846	17440	15823	15255
847	19220	17209	16555
848	20558	18767	18595
849	21534	19143	20325
850	21888	19026	19519
851	21161	18979	18909
852	20410	19051	18932
853	20510	18885	19123
