"time","hour","day","week",
246600,20,2,0,
248400,21,2,0,
250200,21,2,0,
252000,22,2,0,
253800,22,2,0,
255600,23,2,0,
257400,23,2,0,
259200,0,3,0,
261000,0,3,0,
262800,1,3,0,
264600,1,3,0,
266400,2,3,0,
268200,2,3,0,
270000,3,3,0,
271800,3,3,0,
273600,4,3,0,
275400,4,3,0,
277200,5,3,0,
279000,5,3,0,
280800,6,3,0,
282600,6,3,0,
284400,7,3,0,
286200,7,3,0,
288000,8,3,0,
289800,8,3,0,
291600,9,3,0,
293400,9,3,0,
295200,10,3,0,
297000,10,3,0,
298800,11,3,0,
300600,11,3,0,
302400,12,3,0,
304200,12,3,0,
306000,13,3,0,
307800,13,3,0,
309600,14,3,0,
311400,14,3,0,
313200,15,3,0,
315000,15,3,0,
316800,16,3,0,
318600,16,3,0,
320400,17,3,0,
322200,17,3,0,
324000,18,3,0,
325800,18,3,0,
327600,19,3,0,
329400,19,3,0,
331200,20,3,0,
333000,20,3,0,
334800,21,3,0,
336600,21,3,0,
338400,22,3,0,
340200,22,3,0,
342000,23,3,0,
343800,23,3,0,
345600,0,4,0,
347400,0,4,0,
349200,1,4,0,
351000,1,4,0,
352800,2,4,0,
354600,2,4,0,
356400,3,4,0,
358200,3,4,0,
360000,4,4,0,
361800,4,4,0,
363600,5,4,0,
365400,5,4,0,
367200,6,4,0,
369000,6,4,0,
370800,7,4,0,
372600,7,4,0,
374400,8,4,0,
376200,8,4,0,
378000,9,4,0,
379800,9,4,0,
381600,10,4,0,
383400,10,4,0,
385200,11,4,0,
387000,11,4,0,
388800,12,4,0,
390600,12,4,0,
392400,13,4,0,
394200,13,4,0,
396000,14,4,0,
397800,14,4,0,
399600,15,4,0,
401400,15,4,0,
403200,16,4,0,
405000,16,4,0,
406800,17,4,0,
408600,17,4,0,
410400,18,4,0,
412200,18,4,0,
414000,19,4,0,
415800,19,4,0,
417600,20,4,0,
419400,20,4,0,
421200,21,4,0,
423000,21,4,0,
424800,22,4,0,
426600,22,4,0,
428400,23,4,0,
430200,23,4,0,
432000,0,5,0,
433800,0,5,0,
435600,1,5,0,
437400,1,5,0,
439200,2,5,0,
441000,2,5,0,
442800,3,5,0,
444600,3,5,0,
446400,4,5,0,
448200,4,5,0,
450000,5,5,0,
451800,5,5,0,
453600,6,5,0,
455400,6,5,0,
457200,7,5,0,
459000,7,5,0,
460800,8,5,0,
462600,8,5,0,
464400,9,5,0,
466200,9,5,0,
468000,10,5,0,
469800,10,5,0,
471600,11,5,0,
473400,11,5,0,
475200,12,5,0,
477000,12,5,0,
478800,13,5,0,
480600,13,5,0,
482400,14,5,0,
484200,14,5,0,
486000,15,5,0,
487800,15,5,0,
489600,16,5,0,
491400,16,5,0,
493200,17,5,0,
495000,17,5,0,
496800,18,5,0,
498600,18,5,0,
500400,19,5,0,
502200,19,5,0,
504000,20,5,0,
505800,20,5,0,
507600,21,5,0,
509400,21,5,0,
511200,22,5,0,
513000,22,5,0,
514800,23,5,0,
516600,23,5,0,
518400,0,6,0,
520200,0,6,0,
522000,1,6,0,
523800,1,6,0,
525600,2,6,0,
527400,2,6,0,
529200,3,6,0,
531000,3,6,0,
532800,4,6,0,
534600,4,6,0,
536400,5,6,0,
538200,5,6,0,
540000,6,6,0,
541800,6,6,0,
543600,7,6,0,
545400,7,6,0,
547200,8,6,0,
549000,8,6,0,
550800,9,6,0,
552600,9,6,0,
554400,10,6,0,
556200,10,6,0,
558000,11,6,0,
559800,11,6,0,
561600,12,6,0,
563400,12,6,0,
565200,13,6,0,
567000,13,6,0,
568800,14,6,0,
570600,14,6,0,
572400,15,6,0,
574200,15,6,0,
576000,16,6,0,
577800,16,6,0,
579600,17,6,0,
581400,17,6,0,
583200,18,6,0,
585000,18,6,0,
586800,19,6,0,
588600,19,6,0,
590400,20,6,0,
592200,20,6,0,
594000,21,6,0,
595800,21,6,0,
597600,22,6,0,
599400,22,6,0,
601200,23,6,0,
603000,23,6,0,
604800,0,7,1,
606600,0,7,1,
608400,1,7,1,
610200,1,7,1,
612000,2,7,1,
613800,2,7,1,
615600,3,7,1,
617400,3,7,1,
619200,4,7,1,
621000,4,7,1,
622800,5,7,1,
624600,5,7,1,
626400,6,7,1,
628200,6,7,1,
630000,7,7,1,
631800,7,7,1,
633600,8,7,1,
635400,8,7,1,
637200,9,7,1,
639000,9,7,1,
640800,10,7,1,
642600,10,7,1,
644400,11,7,1,
646200,11,7,1,
648000,12,7,1,
649800,12,7,1,
651600,13,7,1,
653400,13,7,1,
655200,14,7,1,
657000,14,7,1,
658800,15,7,1,
660600,15,7,1,
662400,16,7,1,
664200,16,7,1,
666000,17,7,1,
667800,17,7,1,
669600,18,7,1,
671400,18,7,1,
673200,19,7,1,
675000,19,7,1,
676800,20,7,1,
678600,20,7,1,
680400,21,7,1,
682200,21,7,1,
684000,22,7,1,
685800,22,7,1,
687600,23,7,1,
689400,23,7,1,
691200,0,8,1,
693000,0,8,1,
694800,1,8,1,
696600,1,8,1,
698400,2,8,1,
700200,2,8,1,
702000,3,8,1,
703800,3,8,1,
705600,4,8,1,
707400,4,8,1,
709200,5,8,1,
711000,5,8,1,
712800,6,8,1,
714600,6,8,1,
716400,7,8,1,
718200,7,8,1,
720000,8,8,1,
721800,8,8,1,
723600,9,8,1,
725400,9,8,1,
727200,10,8,1,
729000,10,8,1,
730800,11,8,1,
732600,11,8,1,
734400,12,8,1,
736200,12,8,1,
738000,13,8,1,
739800,13,8,1,
741600,14,8,1,
743400,14,8,1,
745200,15,8,1,
747000,15,8,1,
748800,16,8,1,
750600,16,8,1,
752400,17,8,1,
754200,17,8,1,
756000,18,8,1,
757800,18,8,1,
759600,19,8,1,
761400,19,8,1,
763200,20,8,1,
765000,20,8,1,
766800,21,8,1,
768600,21,8,1,
770400,22,8,1,
772200,22,8,1,
774000,23,8,1,
775800,23,8,1,
777600,0,9,1,
779400,0,9,1,
781200,1,9,1,
783000,1,9,1,
784800,2,9,1,
786600,2,9,1,
788400,3,9,1,
790200,3,9,1,
792000,4,9,1,
793800,4,9,1,
795600,5,9,1,
797400,5,9,1,
799200,6,9,1,
801000,6,9,1,
802800,7,9,1,
804600,7,9,1,
806400,8,9,1,
808200,8,9,1,
810000,9,9,1,
811800,9,9,1,
813600,10,9,1,
815400,10,9,1,
817200,11,9,1,
819000,11,9,1,
820800,12,9,1,
822600,12,9,1,
824400,13,9,1,
826200,13,9,1,
828000,14,9,1,
829800,14,9,1,
831600,15,9,1,
833400,15,9,1,
835200,16,9,1,
837000,16,9,1,
838800,17,9,1,
840600,17,9,1,
842400,18,9,1,
844200,18,9,1,
846000,19,9,1,
847800,19,9,1,
849600,20,9,1,
851400,20,9,1,
853200,21,9,1,
855000,21,9,1,
856800,22,9,1,
858600,22,9,1,
860400,23,9,1,
862200,23,9,1,
864000,0,10,1,
865800,0,10,1,
867600,1,10,1,
869400,1,10,1,
871200,2,10,1,
873000,2,10,1,
874800,3,10,1,
876600,3,10,1,
878400,4,10,1,
880200,4,10,1,
882000,5,10,1,
883800,5,10,1,
885600,6,10,1,
887400,6,10,1,
889200,7,10,1,
891000,7,10,1,
892800,8,10,1,
894600,8,10,1,
896400,9,10,1,
898200,9,10,1,
900000,10,10,1,
901800,10,10,1,
903600,11,10,1,
905400,11,10,1,
907200,12,10,1,
909000,12,10,1,
910800,13,10,1,
912600,13,10,1,
914400,14,10,1,
916200,14,10,1,
918000,15,10,1,
919800,15,10,1,
921600,16,10,1,
923400,16,10,1,
925200,17,10,1,
927000,17,10,1,
928800,18,10,1,
930600,18,10,1,
932400,19,10,1,
934200,19,10,1,
936000,20,10,1,
937800,20,10,1,
939600,21,10,1,
941400,21,10,1,
943200,22,10,1,
945000,22,10,1,
946800,23,10,1,
948600,23,10,1,
950400,0,11,1,
952200,0,11,1,
954000,1,11,1,
955800,1,11,1,
957600,2,11,1,
959400,2,11,1,
961200,3,11,1,
963000,3,11,1,
964800,4,11,1,
966600,4,11,1,
968400,5,11,1,
970200,5,11,1,
972000,6,11,1,
973800,6,11,1,
975600,7,11,1,
977400,7,11,1,
979200,8,11,1,
981000,8,11,1,
982800,9,11,1,
984600,9,11,1,
986400,10,11,1,
988200,10,11,1,
990000,11,11,1,
991800,11,11,1,
993600,12,11,1,
995400,12,11,1,
997200,13,11,1,
999000,13,11,1,
1000800,14,11,1,
1002600,14,11,1,
1004400,15,11,1,
1006200,15,11,1,
1008000,16,11,1,
1009800,16,11,1,
1011600,17,11,1,
1013400,17,11,1,
1015200,18,11,1,
1017000,18,11,1,
1018800,19,11,1,
1020600,19,11,1,
1022400,20,11,1,
1024200,20,11,1,
1026000,21,11,1,
1027800,21,11,1,
1029600,22,11,1,
1031400,22,11,1,
1033200,23,11,1,
1035000,23,11,1,
1036800,0,12,1,
1038600,0,12,1,
1040400,1,12,1,
1042200,1,12,1,
1044000,2,12,1,
1045800,2,12,1,
1047600,3,12,1,
1049400,3,12,1,
1051200,4,12,1,
1053000,4,12,1,
1054800,5,12,1,
1056600,5,12,1,
1058400,6,12,1,
1060200,6,12,1,
1062000,7,12,1,
1063800,7,12,1,
1065600,8,12,1,
1067400,8,12,1,
1069200,9,12,1,
1071000,9,12,1,
1072800,10,12,1,
1074600,10,12,1,
1076400,11,12,1,
1078200,11,12,1,
1080000,12,12,1,
1081800,12,12,1,
1083600,13,12,1,
1085400,13,12,1,
1087200,14,12,1,
1089000,14,12,1,
1090800,15,12,1,
1092600,15,12,1,
1094400,16,12,1,
1096200,16,12,1,
1098000,17,12,1,
1099800,17,12,1,
1101600,18,12,1,
1103400,18,12,1,
1105200,19,12,1,
1107000,19,12,1,
1108800,20,12,1,
1110600,20,12,1,
1112400,21,12,1,
1114200,21,12,1,
1116000,22,12,1,
1117800,22,12,1,
1119600,23,12,1,
1121400,23,12,1,
1123200,0,13,1,
1125000,0,13,1,
1126800,1,13,1,
1128600,1,13,1,
1130400,2,13,1,
1132200,2,13,1,
1134000,3,13,1,
1135800,3,13,1,
1137600,4,13,1,
1139400,4,13,1,
1141200,5,13,1,
1143000,5,13,1,
1144800,6,13,1,
1146600,6,13,1,
1148400,7,13,1,
1150200,7,13,1,
1152000,8,13,1,
1153800,8,13,1,
1155600,9,13,1,
1157400,9,13,1,
1159200,10,13,1,
1161000,10,13,1,
1162800,11,13,1,
1164600,11,13,1,
1166400,12,13,1,
1168200,12,13,1,
1170000,13,13,1,
1171800,13,13,1,
1173600,14,13,1,
1175400,14,13,1,
1177200,15,13,1,
1179000,15,13,1,
1180800,16,13,1,
1182600,16,13,1,
1184400,17,13,1,
1186200,17,13,1,
1188000,18,13,1,
1189800,18,13,1,
1191600,19,13,1,
1193400,19,13,1,
1195200,20,13,1,
1197000,20,13,1,
1198800,21,13,1,
1200600,21,13,1,
1202400,22,13,1,
1204200,22,13,1,
1206000,23,13,1,
1207800,23,13,1,
1209600,0,14,2,
1211400,0,14,2,
1213200,1,14,2,
1215000,1,14,2,
1216800,2,14,2,
1218600,2,14,2,
1220400,3,14,2,
1222200,3,14,2,
1224000,4,14,2,
1225800,4,14,2,
1227600,5,14,2,
1229400,5,14,2,
1231200,6,14,2,
1233000,6,14,2,
1234800,7,14,2,
1236600,7,14,2,
1238400,8,14,2,
1240200,8,14,2,
1242000,9,14,2,
1243800,9,14,2,
1245600,10,14,2,
1247400,10,14,2,
1249200,11,14,2,
1251000,11,14,2,
1252800,12,14,2,
1254600,12,14,2,
1256400,13,14,2,
1258200,13,14,2,
1260000,14,14,2,
1261800,14,14,2,
1263600,15,14,2,
1265400,15,14,2,
1267200,16,14,2,
1269000,16,14,2,
1270800,17,14,2,
1272600,17,14,2,
1274400,18,14,2,
1276200,18,14,2,
1278000,19,14,2,
1279800,19,14,2,
1281600,20,14,2,
1283400,20,14,2,
1285200,21,14,2,
1287000,21,14,2,
1288800,22,14,2,
1290600,22,14,2,
1292400,23,14,2,
1294200,23,14,2,
1296000,0,15,2,
1297800,0,15,2,
1299600,1,15,2,
1301400,1,15,2,
1303200,2,15,2,
1305000,2,15,2,
1306800,3,15,2,
1308600,3,15,2,
1310400,4,15,2,
1312200,4,15,2,
1314000,5,15,2,
1315800,5,15,2,
1317600,6,15,2,
1319400,6,15,2,
1321200,7,15,2,
1323000,7,15,2,
1324800,8,15,2,
1326600,8,15,2,
1328400,9,15,2,
1330200,9,15,2,
1332000,10,15,2,
1333800,10,15,2,
1335600,11,15,2,
1337400,11,15,2,
1339200,12,15,2,
1341000,12,15,2,
1342800,13,15,2,
1344600,13,15,2,
1346400,14,15,2,
1348200,14,15,2,
1350000,15,15,2,
1351800,15,15,2,
1353600,16,15,2,
1355400,16,15,2,
1357200,17,15,2,
1359000,17,15,2,
1360800,18,15,2,
1362600,18,15,2,
1364400,19,15,2,
1366200,19,15,2,
1368000,20,15,2,
1369800,20,15,2,
1371600,21,15,2,
1373400,21,15,2,
1375200,22,15,2,
1377000,22,15,2,
1378800,23,15,2,
1380600,23,15,2,
1382400,0,16,2,
1384200,0,16,2,
1386000,1,16,2,
1387800,1,16,2,
1389600,2,16,2,
1391400,2,16,2,
1393200,3,16,2,
1395000,3,16,2,
1396800,4,16,2,
1398600,4,16,2,
1400400,5,16,2,
1402200,5,16,2,
1404000,6,16,2,
1405800,6,16,2,
1407600,7,16,2,
1409400,7,16,2,
1411200,8,16,2,
1413000,8,16,2,
1414800,9,16,2,
1416600,9,16,2,
1418400,10,16,2,
1420200,10,16,2,
1422000,11,16,2,
1423800,11,16,2,
1425600,12,16,2,
1427400,12,16,2,
1429200,13,16,2,
1431000,13,16,2,
1432800,14,16,2,
1434600,14,16,2,
1436400,15,16,2,
1438200,15,16,2,
1440000,16,16,2,
1441800,16,16,2,
1443600,17,16,2,
1445400,17,16,2,
1447200,18,16,2,
1449000,18,16,2,
1450800,19,16,2,
1452600,19,16,2,
1454400,20,16,2,
1456200,20,16,2,
1458000,21,16,2,
1459800,21,16,2,
1461600,22,16,2,
1463400,22,16,2,
1465200,23,16,2,
1467000,23,16,2,
1468800,0,17,2,
1470600,0,17,2,
1472400,1,17,2,
1474200,1,17,2,
1476000,2,17,2,
1477800,2,17,2,
1479600,3,17,2,
1481400,3,17,2,
1483200,4,17,2,
1485000,4,17,2,
1486800,5,17,2,
1488600,5,17,2,
1490400,6,17,2,
1492200,6,17,2,
1494000,7,17,2,
1495800,7,17,2,
1497600,8,17,2,
1499400,8,17,2,
1501200,9,17,2,
1503000,9,17,2,
1504800,10,17,2,
1506600,10,17,2,
1508400,11,17,2,
1510200,11,17,2,
1512000,12,17,2,
1513800,12,17,2,
1515600,13,17,2,
1517400,13,17,2,
1519200,14,17,2,
1521000,14,17,2,
1522800,15,17,2,
1524600,15,17,2,
1526400,16,17,2,
1528200,16,17,2,
1530000,17,17,2,
1531800,17,17,2,
1533600,18,17,2,
1535400,18,17,2,
1537200,19,17,2,
1539000,19,17,2,
1540800,20,17,2,
1542600,20,17,2,
1544400,21,17,2,
1546200,21,17,2,
1548000,22,17,2,
1549800,22,17,2,
1551600,23,17,2,
1553400,23,17,2,
1555200,0,18,2,
1557000,0,18,2,
1558800,1,18,2,
1560600,1,18,2,
1562400,2,18,2,
1564200,2,18,2,
1566000,3,18,2,
1567800,3,18,2,
1569600,4,18,2,
1571400,4,18,2,
1573200,5,18,2,
1575000,5,18,2,
1576800,6,18,2,
1578600,6,18,2,
1580400,7,18,2,
1582200,7,18,2,
1584000,8,18,2,
1585800,8,18,2,
1587600,9,18,2,
1589400,9,18,2,
1591200,10,18,2,
1593000,10,18,2,
1594800,11,18,2,
1596600,11,18,2,
1598400,12,18,2,
1600200,12,18,2,
1602000,13,18,2,
1603800,13,18,2,
1605600,14,18,2,
1607400,14,18,2,
1609200,15,18,2,
1611000,15,18,2,
1612800,16,18,2,
1614600,16,18,2,
1616400,17,18,2,
1618200,17,18,2,
1620000,18,18,2,
1621800,18,18,2,
1623600,19,18,2,
1625400,19,18,2,
1627200,20,18,2,
1629000,20,18,2,
1630800,21,18,2,
1632600,21,18,2,
1634400,22,18,2,
1636200,22,18,2,
1638000,23,18,2,
1639800,23,18,2,
1641600,0,19,2,
1643400,0,19,2,
1645200,1,19,2,
1647000,1,19,2,
1648800,2,19,2,
1650600,2,19,2,
1652400,3,19,2,
1654200,3,19,2,
1656000,4,19,2,
1657800,4,19,2,
1659600,5,19,2,
1661400,5,19,2,
1663200,6,19,2,
1665000,6,19,2,
1666800,7,19,2,
1668600,7,19,2,
1670400,8,19,2,
1672200,8,19,2,
1674000,9,19,2,
1675800,9,19,2,
1677600,10,19,2,
1679400,10,19,2,
1681200,11,19,2,
1683000,11,19,2,
1684800,12,19,2,
1686600,12,19,2,
1688400,13,19,2,
1690200,13,19,2,
1692000,14,19,2,
1693800,14,19,2,
1695600,15,19,2,
1697400,15,19,2,
1699200,16,19,2,
1701000,16,19,2,
1702800,17,19,2,
1704600,17,19,2,
1706400,18,19,2,
1708200,18,19,2,
1710000,19,19,2,
1711800,19,19,2,
1713600,20,19,2,
1715400,20,19,2,
1717200,21,19,2,
1719000,21,19,2,
1720800,22,19,2,
1722600,22,19,2,
1724400,23,19,2,
1726200,23,19,2,
1728000,0,20,2,
1729800,0,20,2,
1731600,1,20,2,
1733400,1,20,2,
1735200,2,20,2,
1737000,2,20,2,
1738800,3,20,2,
1740600,3,20,2,
1742400,4,20,2,
1744200,4,20,2,
1746000,5,20,2,
1747800,5,20,2,
1749600,6,20,2,
1751400,6,20,2,
1753200,7,20,2,
1755000,7,20,2,
1756800,8,20,2,
1758600,8,20,2,
1760400,9,20,2,
1762200,9,20,2,
1764000,10,20,2,
1765800,10,20,2,
1767600,11,20,2,
1769400,11,20,2,
1771200,12,20,2,
1773000,12,20,2,
1774800,13,20,2,
1776600,13,20,2,
1778400,14,20,2,
1780200,14,20,2,
1782000,15,20,2,
1783800,15,20,2,
1785600,16,20,2,
1787400,16,20,2,
1789200,17,20,2,
1791000,17,20,2,
1792800,18,20,2,
1794600,18,20,2,
1796400,19,20,2,
1798200,19,20,2,
1800000,20,20,2,
1801800,20,20,2,
1803600,21,20,2,
1805400,21,20,2,
1807200,22,20,2,
1809000,22,20,2,
1810800,23,20,2,
1812600,23,20,2,
1814400,0,21,3,
